,Unnamed: 0.1,Unnamed: 0,file_name,label
0,11517,3452,train_data/87cbee5111044249b6918348ade79ae7.jpg,1
1,18160,31164,train_data/f0b1d3c4494e40d8b6bf3e2fc59b84be.jpg,1
2,1815,9181,train_data/7c3edb30125648a19d8b00e54a7955ea.jpg,0
3,15537,7147,train_data/8c3338ec88d5476792d1bd1e66c832c1.jpg,0
4,12593,26664,train_data/47513c57961f4469944fdb6dd6e0ccbe.jpg,1
5,15842,2337,train_data/1d66fb6c8c4845b0a33937272de5c0d7.jpg,0
6,4356,62230,train_data/3f84a49fefcd4919be5a00904e6f94f9.jpg,1
7,7781,20112,train_data/a54391b711b84c469a44b3d95857c872.jpg,1
8,18669,22893,train_data/d0a66587141f4123b3f644fb8720435b.jpg,0
9,16279,40399,train_data/dc29c7d11c164ee7bf8b29dd8298c42a.jpg,0
10,15977,341,train_data/f1208acd82054497ba849c74a6a74b55.jpg,0
11,8231,48824,train_data/92040297ba4848769af61caf9fdd6ec8.jpg,1
12,8327,76802,train_data/3277d4016e9f47f6bcf347b63495ba77.jpg,1
13,9881,64256,train_data/7260156b7a4b42148f9d784d4bf0078b.jpg,1
14,11316,12582,train_data/7a001572313543628b132fee94b86db1.jpg,1
15,3579,12387,train_data/8c580f4694b241fe92d34fa3309daf79.jpg,0
16,17058,18112,train_data/1fdff723c89c45dda2ad6ab7339557e5.jpg,1
17,8842,53935,train_data/d2844392abde463b9d736c853696dd9c.jpg,0
18,5834,14523,train_data/28636a7f46df487ca6aef9e201c7b54b.jpg,0
19,2771,71873,train_data/7abd5afadfba4d4f92baf2e062a843c3.jpg,0
20,3002,31466,train_data/94af1f88360144328aace74255f0638b.jpg,1
21,17231,27008,train_data/e79974423ff64c6681b52b9f29083a43.jpg,1
22,19297,59112,train_data/72fd7e0730bc4c0ba139468dd5741637.jpg,1
23,7324,51443,train_data/78306c3638424819b96b0a2d60f264ed.jpg,0
24,17024,14769,train_data/0ef8f401addf484d8595c1c436023ca7.jpg,0
25,19369,74247,train_data/a47d38f0ee474c21968e8c3298745c8a.jpg,0
26,4877,58843,train_data/d996d2028b1b4626a4131faefe32955f.jpg,0
27,10872,61968,train_data/5eae821fa322412d9c52894a0f9d24b1.jpg,1
28,1350,55462,train_data/99c3f5834fe94fe7abeb34c3fbe8e96f.jpg,1
29,2767,17826,train_data/5812ae52a46a4c6ca1103594659c5a6c.jpg,1
30,19058,61222,train_data/158a53dbb70343b58dcf85e753b164ad.jpg,1
31,18203,45116,train_data/ee5e02b423df401da06aeb60b60bd555.jpg,1
32,14171,48706,train_data/5f04705dcb9c46bca5b08ae2afc3f3ba.jpg,1
33,5474,60777,train_data/144a4b07c27e46d7ab961898e6873344.jpg,0
34,16932,63005,train_data/44c489328c8e4b2b80ce51b7c5fc9320.jpg,0
35,6958,27527,train_data/d001cec89e5646e2b546cc9e2e1af9f0.jpg,0
36,14108,53560,train_data/195cbcee402a4084bf58df284186a39f.jpg,1
37,6600,5907,train_data/abe5325db69a4e38aabb20fd1fb6728b.jpg,0
38,10484,66901,train_data/7f084162f5274c67856d7dbe311e96ff.jpg,0
39,3699,32090,train_data/c6f751d613c448edac93b363e3703511.jpg,1
40,2270,53838,train_data/c4f0c22dca7f48b89836e505f2281bf1.jpg,1
41,8409,56937,train_data/e5cca5cf7e2246428057381a49dddc60.jpg,0
